block,time
2,23.999
3,30.005
4,17.995
5,24.001
6,24.001
7,23.998
8,30.004
9,17.994
10,24.01
11,23.998
12,23.993
13,30.004
14,17.997
15,24.002
16,23.997
17,24.001
18,30.004
19,17.997
20,23.998
21,24.01
22,23.989
23,48.003
24,24.012
25,29.992
26,17.999
27,30
28,17.997
29,24.01
30,23.989
31,24
32,48.007
33,23.995
34,23.999
35,23.997
36,30.005
37,17.997
38,24
39,23.999
40,24.002
41,30.008
42,17.992
43,23.999
44,24
45,24.002
46,30.001
47,18.007
48,23.99
49,24
50,23.998
51,30.015
52,17.986
53,24.002
54,30
55,18.004
56,29.998
57,17.998
58,23.997
59,24.004
60,23.998
61,30.017
62,17.983
63,24.001
64,24.003
65,23.996
66,30.004
67,17.996
68,23.999
69,24.003
70,24.002
71,30.013
72,17.986
73,24.007
74,23.991
75,24
76,30.003
77,18.002
78,23.995
79,24.008
80,23.993
81,30.001
82,17.996
83,24.004
84,23.998
85,24
86,30.004
87,17.995
88,24.005
89,23.996
90,23.999
91,30.003
92,17.996
93,23.999
94,24.002
95,24.002
96,30.005
97,17.996
98,23.999
99,23.998
100,24
101,30.004
102,17.998
103,23.998
104,24
105,23.999
106,30.006
107,18
108,23.995
109,23.999
110,24.001
111,30.006
112,17.995
113,23.999
114,24.001
